"","Feature","Ratio","MET_1","MET_2","MET_3","CTL_1","CTL_2","CTL_3","M.Ave","M.SD","A","Nominal","Empirical","LODR"
"16499","ERCC-00002","1:2",37.9657534246575,36.3597678916828,56.169133192389,92.191435768262,83.2161172161172,64.6863753213368,-0.892712805878086,0.598242482680713,5.9487121241945,0.5,0.536329356461184,"above"
"16500","ERCC-00003","1:2",3.07534246575342,3.02707930367505,4.19238900634249,7.67758186397985,6.31318681318681,5.6426735218509,-0.936317725326227,0.458430398776771,2.31847365989929,0.5,0.536329356461184,"above"
"16501","ERCC-00004","4:1",10.4315068493151,10.7736943907157,14.2811839323467,3.12342569269521,2.71794871794872,2.31876606683805,2.11645192276399,0.455498694169056,2.86283241120048,4,4.29063485168947,"above"
"16502","ERCC-00009","1:1",1.85159817351598,1.68085106382979,2.37420718816068,2.2896725440806,1.96520146520147,1.38046272493573,0.083479446763244,0.606540871605624,0.943857975285826,1,1.07265871292237,"below"
"16504","ERCC-00013","1:2",0.00684931506849315,0.00193423597678917,0.00422832980972516,0.00251889168765743,0.00915750915750916,0.0025706940874036,-0.0273636047909023,1.95292426897536,-7.7820873342934,0.5,0.536329356461184,"below"
"16508","ERCC-00019","4:1",0.0547945205479452,0.0618955512572534,0.0909090909090909,0.0125944584382872,0.0238095238095238,0.0102827763496144,2.21457807406277,0.886641064873241,-4.56043900702145,4,4.29063485168947,"below"
"16509","ERCC-00022","1:2",0.36986301369863,0.355899419729207,0.479915433403805,0.81360201511335,0.816849816849817,0.560411311053985,-0.853213117788368,0.546029312024398,-0.820896227324427,0.5,0.536329356461184,"below"
"16511","ERCC-00025","1:1",0.0958904109589041,0.104448742746615,0.156448202959831,0.125944584382872,0.113553113553114,0.0745501285347044,0.185166525025168,0.777820052408983,-3.16093224003243,1,1.07265871292237,"below"
"16513","ERCC-00031","1:1",0.00228310502283105,0.00193423597678917,0.0169133192389006,0.0100755667506297,0.00732600732600733,0.0077120822622108,-0.976695906975885,1.83034638375306,-7.01954262107191,1,1.07265871292237,"below"
"16515","ERCC-00034","1:1",0.0273972602739726,0.0425531914893617,0.0507399577167019,0.0705289672544081,0.0494505494505494,0.0308483290488432,-0.287657841689707,1.04286823710707,-4.46584139628995,1,1.07265871292237,"below"
"16516","ERCC-00035","1:1",0.166666666666667,0.158607350096712,0.25369978858351,0.226700251889169,0.1996336996337,0.154241645244216,-0.0192620259383338,0.640875041184407,-2.37139821401317,1,1.07265871292237,"below"
"16517","ERCC-00039","1:1.5",0.0045662100456621,0.00773694390715667,0.00634249471458774,0.017632241813602,0.00732600732600733,0.0051413881748072,-0.522505880514317,1.24058037127535,-6.94355598382816,0.667,0.71546336151922,"below"
"16520","ERCC-00042","1:1",1.37671232876712,1.2862669245648,1.91966173361522,1.70780856423174,1.32600732600733,1.15681233933162,0.125293149312155,0.541027346627928,0.548152039051284,1,1.07265871292237,"below"
"16521","ERCC-00043","1:2",1.54566210045662,1.60928433268859,2.31289640591966,3.97229219143577,3.44505494505495,3.08740359897172,-0.958849323239065,0.487674210898874,1.4125641857699,0.5,0.536329356461184,"above"
"16522","ERCC-00044","1:1.5",0.0388127853881279,0.0290135396518375,0.06553911205074,0.0780856423173804,0.128205128205128,0.0874035989717224,-1.18917254718098,0.878206621082955,-3.81245247278479,0.667,0.71546336151922,"below"
"16523","ERCC-00046","1:2",8.162100456621,7.9651837524178,10.5031712473573,20.360201511335,16.5274725274725,14.9151670951157,-0.959260395239937,0.414435881359023,3.70843183304707,0.5,0.536329356461184,"above"
"16525","ERCC-00051","1:1",0.0296803652968037,0.0154738878143133,0.0422832980972516,0.0428211586901763,0.0274725274725275,0.0205655526992288,-0.105703614678968,1.00331182802934,-5.07260986567614,1,1.07265871292237,"below"
"16526","ERCC-00053","1:1",0.0821917808219178,0.0793036750483559,0.114164904862579,0.100755667506297,0.0604395604395604,0.0488431876606684,0.440996520109321,0.760532195831303,-3.62682874394183,1,1.07265871292237,"below"
"16527","ERCC-00054","1:1.5",0.0205479452054795,0.011605415860735,0.0232558139534884,0.017632241813602,0.0274725274725275,0.025706940874036,-0.38899323731974,0.761977754494967,-5.57093994953153,0.667,0.71546336151922,"below"
"16530","ERCC-00059","1:2",0.0045662100456621,0.0174081237911025,0.0465116279069767,0.0453400503778338,0.0549450549450549,0.0411311053984576,-1.59752806572591,1.74533107474493,-4.83717349716145,0.5,0.536329356461184,"below"
"16531","ERCC-00060","1:1",0.755707762557078,0.711798839458414,0.989429175475687,0.811083123425693,0.712454212454212,0.753213367609255,0.0967295949060257,0.261927757966481,-0.341998343299498,1,1.07265871292237,"below"
"16533","ERCC-00062","4:1",0.19634703196347,0.183752417794971,0.251585623678647,0.0327455919395466,0.0476190476190476,0.0359897172236504,2.44585951593157,0.445010317088766,-3.00377627698946,4,4.29063485168947,"above"
"16535","ERCC-00069","1:2",0.00684931506849315,0.00193423597678917,0.0169133192389006,0.0100755667506297,0.00183150183150183,0.0051413881748072,0.413279093504885,1.1736999108563,-7.13305197863977,0.5,0.536329356461184,"below"
"16536","ERCC-00071","1:1.5",0.0981735159817352,0.0812379110251451,0.126849894291755,0.17632241813602,0.141025641025641,0.0976863753213368,-0.421216506066859,0.691618613674973,-3.05629966081682,0.667,0.71546336151922,"below"
"16538","ERCC-00074","1:1.5",26.2168949771689,27.4738878143133,38.3467230443975,49.7481108312343,42.4120879120879,35.3136246786632,-0.477226984678953,0.537277460641265,5.19318909005496,0.667,0.71546336151922,"below"
"16540","ERCC-00076","1:1.5",0.399543378995434,0.313346228239845,0.503171247357294,0.722921914357683,0.586080586080586,0.539845758354756,-0.620108960470259,0.449767340386498,-0.969118207755181,0.667,0.71546336151922,"below"
"16542","ERCC-00078","1:2",0.100456621004566,0.0793036750483559,0.109936575052854,0.211586901763224,0.194139194139194,0.125964010282776,-0.854216533422399,0.57997264537838,-2.86882852137004,0.5,0.536329356461184,"below"
"16543","ERCC-00079","1:2",0.134703196347032,0.110251450676983,0.247357293868922,0.357682619647355,0.344322344322344,0.29305912596401,-1.09881780748119,0.748978497915291,-2.01219307241134,0.5,0.536329356461184,"below"
"16546","ERCC-00084","1:1.5",0.0753424657534247,0.0599613152804642,0.116279069767442,0.0982367758186398,0.0879120879120879,0.0591259640102828,0.0136327491410233,0.837484163237177,-3.5940579346973,0.667,0.71546336151922,"below"
"16547","ERCC-00085","4:1",0.0136986301369863,0.011605415860735,0.0105708245243129,0.00251889168765743,0.010989010989011,0.0025706940874036,1.52058845846734,1.26485876336062,-6.85159865513835,4,4.29063485168947,"below"
"16549","ERCC-00092","4:1",0.623287671232877,0.574468085106383,0.881606765327696,0.211586901763224,0.177655677655678,0.0925449871465296,2.16789978285019,0.941184614017333,-1.22817070065424,4,4.29063485168947,"above"
"16550","ERCC-00095","4:1",0.0662100456621005,0.0522243713733075,0.124735729386892,0.0277078085642317,0.021978021978022,0.0154241645244216,1.84034323545559,1.01781937432997,-4.28264863739315,4,4.29063485168947,"below"
