1,A,R_1_1,R_1_1_R,1,1250000
2,A,R_1_1,R_1_1_V,1,1250000
1,A,R_1_2,R_1_2_R,3,625000
2,A,R_1_2,R_1_2_V,1,1875000
1,A,R_1_3,R_1_3_R,1,1875000
2,A,R_1_3,R_1_3_V,3,625000
1,D,R_1_4,R_1_4_R,1,304
2,D,R_1_4,R_1_4_V,1,304
1,A,R_10_1,R_10_1_R,1,312500
2,A,R_10_1,R_10_1_V,1,312500
1,A,R_10_2,R_10_2_R,1,468750
2,A,R_10_2,R_10_2_V,3,156250
1,A,R_10_3,R_10_3_R,3,156250
2,A,R_10_3,R_10_3_V,1,468750
1,B,R_2_1,R_2_1_R,1,156250
2,B,R_2_1,R_2_1_V,1,156250
1,B,R_2_2,R_2_2_R,1,234375
2,B,R_2_2,R_2_2_V,3,78125
1,B,R_2_3,R_2_3_R,3,78125
2,B,R_2_3,R_2_3_V,1,234375
1,D,R_2_4,R_2_4_R,1,312500
2,D,R_2_4,R_2_4_V,1,312500
1,B,R_3_1,R_3_1_R,1,39062
2,B,R_3_1,R_3_1_V,1,39062
1,B,R_3_2,R_3_2_R,1,58593
2,B,R_3_2,R_3_2_V,3,19531
1,B,R_3_3,R_3_3_R,3,19531
2,B,R_3_3,R_3_3_V,1,58593
1,B,R_4_1,R_4_1_R,3,4882.5
2,B,R_4_1,R_4_1_V,1,14647.5
1,B,R_4_2,R_4_2_R,1,9765
2,B,R_4_2,R_4_2_V,1,9765
1,B,R_4_3,R_4_3_R,1,14647.5
2,B,R_4_3,R_4_3_V,3,4882.5
1,C,R_5_1,R_5_1_R,1,7323.75
2,C,R_5_1,R_5_1_V,3,2441.25
1,C,R_5_2,R_5_2_R,3,2441.25
2,C,R_5_2,R_5_2_V,1,7323.75
1,C,R_5_3,R_5_3_R,1,9765
2,C,R_5_3,R_5_3_V,1,9765
1,C,R_6_1,R_6_1_R,1,1220
2,C,R_6_1,R_6_1_V,1,1220
1,C,R_6_2,R_6_2_R,1,1830.75
2,C,R_6_2,R_6_2_V,3,610.25
1,C,R_6_3,R_6_3_R,3,610.25
2,C,R_6_3,R_6_3_V,1,1830.75
1,C,R_7_1,R_7_1_R,3,152.25
2,C,R_7_1,R_7_1_V,1,456.75
1,C,R_7_2,R_7_2_R,1,305
2,C,R_7_2,R_7_2_V,1,305
1,C,R_7_3,R_7_3_R,1,456.75
2,C,R_7_3,R_7_3_V,3,152.25
1,D,R_8_1,R_8_1_R,3,76
2,D,R_8_1,R_8_1_V,1,228
1,D,R_8_2,R_8_2_R,1,152
2,D,R_8_2,R_8_2_V,1,152
1,D,R_8_3,R_8_3_R,1,228
2,D,R_8_3,R_8_3_V,3,76
1,D,R_9_1,R_9_1_R,1,38
2,D,R_9_1,R_9_1_V,1,38
1,D,R_9_2,R_9_2_R,1,57
2,D,R_9_2,R_9_2_V,3,19
1,D,R_9_3,R_9_3_R,3,19
2,D,R_9_3,R_9_3_V,1,57
