ID	Length	MixA
191	CS_488_R	1000	0.998046875
192	CS_743_R	1000	0.998046875
193	CS_754_R	1000	0.999023437
194	CS_756_R	1000	0.999023437
195	CS_759_R	1000	0.999023437
196	CS_766_R	1000	0.999023437
197	CS_432_R	1000	0.999023437
198	CS_457_R	1000	0.999023437
199	CS_778_R	1000	0.999023437
200	CS_790_R	1000	0.999023437
