ID	Length	MixA
GI_044_V	1000	0.5
GI_045_V	1000	0.5
GI_048_V	1000	0.5
GI_049_V	1000	0.5
GI_070_V	1000	0.5
GI_074_V	1000	0.5
GI_085_V	1000	0.5
GI_086_V	1000	0.5
GI_093_V	1000	0.5
GI_094_V	1000	0.5
GI_097_V	1000	0.5
GI_099_V	1000	0.5
GS_036_V	1000	0.5
GS_037_V	1000	0.5
GS_038_V	1000	0.5
GS_039_V	1000	0.5
GS_040_V	1000	0.5
GS_041_V	1000	0.5
GS_042_V	1000	0.5
GS_043_V	1000	0.5
GS_046_V	1000	0.5
GS_047_V	1000	0.5
GS_050_V	1000	0.5
GS_051_V	1000	0.5
GS_052_V	1000	0.5
GS_053_V	1000	0.5
GS_054_V	1000	0.5
GS_055_V	1000	0.5
GS_056_V	1000	0.5
GS_057_V	1000	0.5
GS_058_V	1000	0.5
GS_059_V	1000	0.5
GS_060_V	1000	0.5
GS_061_V	1000	0.5
GS_062_V	1000	0.5
GS_063_V	1000	0.5
GS_064_V	1000	0.5
GS_065_V	1000	0.5
GS_066_V	1000	0.5
GS_067_V	1000	0.5
GS_068_V	1000	0.5
GS_069_V	1000	0.5
GS_071_V	1000	0.5
GS_072_V	1000	0.5
GS_073_V	1000	0.5
GS_075_V	1000	0.5
GS_076_V	1000	0.5
GS_077_V	1000	0.5
GS_078_V	1000	0.5
GS_079_V	1000	0.5
GS_080_V	1000	0.5
GS_081_V	1000	0.5
GS_082_V	1000	0.5
GS_083_V	1000	0.5
GS_084_V	1000	0.5
GS_087_V	1000	0.5
GS_088_V	1000	0.5
GS_089_V	1000	0.5
GS_090_V	1000	0.5
GS_091_V	1000	0.5
GS_092_V	1000	0.5
GS_095_V	1000	0.5
GS_096_V	1000	0.5
GS_098_V	1000	0.5
GS_100_V	1000	0.5
GS_101_V	1000	0.5
GS_102_V	1000	0.5
GI_005_V	1000	1
GI_006_V	1000	1
GI_030_V	1000	1
GS_001_V	1000	1
GS_002_V	1000	1
GS_003_V	1000	1
GS_004_V	1000	1
GS_007_V	1000	1
GS_008_V	1000	1
GS_009_V	1000	1
GS_010_V	1000	1
GS_011_V	1000	1
GS_012_V	1000	1
GS_013_V	1000	1
GS_014_V	1000	1
GS_015_V	1000	1
GS_016_V	1000	1
GS_017_V	1000	1
GS_018_V	1000	1
GS_019_V	1000	1
GS_020_V	1000	1
GS_021_V	1000	1
GS_022_V	1000	1
GS_023_V	1000	1
GS_024_V	1000	1
GS_025_V	1000	1
GS_026_V	1000	1
GS_027_V	1000	1
GS_028_V	1000	1
GS_029_V	1000	1
GS_031_V	1000	1
GS_032_V	1000	1
GS_033_V	1000	1
GS_034_V	1000	1
GS_035_V	1000	1
